feed_id,nutrient_id,composition
1,1,24.4
1,2,14.5
1,3,8.2
1,4,1.44
1,5,31.7
1,6,44.2
1,7,56.2
1,8,0.366
1,9,0.23
2,1,24.4
2,2,14.5
2,3,8.2
2,4,1.44
2,5,31.7
2,6,44.2
2,7,56.2
2,8,0.366
2,9,0.23
3,1,22.2
3,2,12
3,3,8.69
3,4,2.71
3,5,32.3
3,6,43.7
3,7,52.4
3,8,0.475
3,9,0.347
4,1,21
4,2,10.2
4,3,9.92
4,4,1.78
4,5,27.4
4,6,50.7
4,7,60
4,8,1.24
4,9,0.234
5,1,21.6
5,2,12.1
5,3,24.1
5,4,4.73
5,5,22.1
5,6,37
5,7,61.8
5,8,1.54
5,9,0.457
6,1,24.8
6,2,7.5
6,3,24.2
6,4,3.72
4,5,21.5
6,6,43.1
6,7,74.4
6,8,1.68
6,9,0.21
7,1,86.8
7,2,2.15
7,3,10.8
7,4,4.28
7,5,3.53
7,6,80.2
7,7,80.8
7,8,0.234
7,9,0.414
8,1,87.7
8,2,13.6
8,3,12
8,4,8.64
8,5,13.9
8,6,50.9
8,7,67.9
8,8,0.0856
8,9,1.39
9,1,87.7
9,2,13.6
9,3,8
9,4,8.64
9,5,16
9,6,45
9,7,60
9,8,0.0856
9,9,1.39
10,1,87.8
10,2,3.5
10,3,10
10,4,7.78
10,5,4.52
10,6,74.2
10,7,82.3
10,8,0.0856
10,9,1.39
11,1,88
11,2,9.98
11,3,12.8
11,4,8.1
11,5,7.13
11,6,62
11,7,69.9
11,8,0.0786
11,9,1.23
12,1,79.8
12,2,2.4
12,3,1.87
12,4,0.324
12,5,8.9
12,6,86.5
12,7,78.3
12,8,0.26
12,9,0.16
13,1,83
13,2,2.4
13,3,2
13,4,0.324
13,5,8.9
13,6,86.5
13,7,80
13,8,0.26
13,9,0.16
14,1,79.5
14,2,4.69
14,3,2.6
14,4,7
14,5,5.67
14,6,86.3
14,7,78.5
14,8,0.17
14,9,0.09
15,1,88.5
15,2,5.93
15,3,18.5
15,4,3.86
15,5,9.78
15,6,61.9
15,7,69.2
15,8,0.231
15,9,1.1
16,1,32.3
16,2,3.3
16,3,3.3
16,4,1.51
16,5,4.15
16,6,87.7
16,7,81.8
16,8,0.26
16,9,0.16
17,1,88.1
17,2,8.16
17,3,46.9
17,4,2.66
17,5,5.9
17,6,36.4
17,7,83.2
17,8,0.376
17,9,0.718
18,1,89.5
18,2,7.74
18,3,41.2
18,4,17.6
18,5,7.91
18,6,25.6
18,7,92.8
18,8,0.39
18,9,0.839
19,1,90.3
19,2,4.07
19,3,16.8
19,4,11.9
19,5,22.6
19,6,44.6
19,7,79
19,8,0.165
19,9,0.616
20,1,88.6
20,2,8.24
20,3,21.3
20,4,10.9
20,5,14.2
20,6,45.4
20,7,78.7
20,8,0.165
20,9,0.616
21,1,83.9
21,2,7.54
21,3,29.6
21,4,7.58
19,5,30
21,6,25.3
21,7,73.7
21,8,0.519
21,9,0.582
22,1,94.6
22,2,4.5
22,3,32.3
22,4,10.2
22,5,17.3
22,6,35.7
22,7,75.4
22,8,0.205
22,9,0.555
23,1,26.6
23,2,14.2
23,3,23.5
23,4,24.2
23,5,16
23,6,22.1
23,7,87.2
23,8,0.882
23,9,0.141
24,1,14.6
24,2,5.1
24,3,30.3
24,4,9.9
24,5,22.2
24,6,32.5
24,7,77.9
24,8,0.882
24,9,0.141
25,1,90.2
25,2,6.33
25,3,45.1
25,4,10.7
25,5,8.95
25,6,28.9
25,7,80.9
25,8,0.519
25,9,0.582
26,1,90.2
26,2,6.33
26,3,45.1
26,4,10.7
26,5,8.95
26,6,28.9
26,7,80.9
26,8,0.519
26,9,0.582
27,1,99
27,2,0.5
27,3,0
27,4,99
27,5,0
27,6,0
27,7,90
27,8,0
27,9,0
28,1,70.89
28,2,4
28,3,4
28,4,0.1
28,5,1
28,6,90.9
28,7,80
28,8,0.8
28,9,0
29,1,99.6
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
30,1,99
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,38
30,9,0
31,1,99
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,40
31,9,0
32,1,93.5
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,22.72
32,9,17.68
33,1,93.5
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
33,8,16
33,9,12
34,1,98
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
34,8,4
34,9,2
35,1,94
35,2,7.9
35,3,35.2
35,4,1
35,5,3.03
35,6,52.9
35,7,85.5
35,8,1.33
35,9,1.09
36,1,89
36,2,11
36,3,29.5
36,4,11.1
34,5,7.9
36,6,40.5
36,7,88
36,8,0
36,9,0
37,1,91
37,2,5.3
37,3,12
37,4,2
37,5,55
37,6,21.8
37,7,60
37,8,2.2
37,9,0.7
38,1,91
38,2,5.3
38,3,6.9
38,4,2
38,5,64
38,6,21.8
38,7,31.7
38,8,2.2
38,9,0.7
39,1,92.3
39,2,8.4
39,3,16.7
39,4,5.9
39,5,18.7
39,6,50.3
39,7,53.29
39,8,0
39,9,0
40,1,0
40,2,0
40,3,0
40,4,0
40,5,0
40,6,0
40,7,0
40,8,0
40,9,0
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
42,1,0
42,2,0
42,3,0
42,4,0
42,5,0
42,6,0
42,7,0
42,8,0
42,9,0
